-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 07/01/2015 through 05/02/2024 
Location: Latitude  21.1526   Longitude 79.0872 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 282.6 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DNI     CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DNI
2015,7,13,5,41.44
2015,7,13,6,92.23
2015,7,13,7,148.51
2015,7,13,8,311.99
2015,7,13,9,534.74
2015,7,13,10,522.61
2015,7,13,11,403.66
2015,7,13,12,273.63
2015,7,13,13,332.8
2015,7,13,14,145.34
2015,7,13,15,116.38
2015,7,13,16,72.63
2015,7,13,17,38.79
2015,7,13,18,6.12
2015,7,13,19,0.0
2015,7,13,20,0.0
2015,7,13,21,0.0
2015,7,13,22,0.0
2015,7,13,23,0.0
2015,7,14,0,0.0
2015,7,14,1,0.0
2015,7,14,2,0.0
2015,7,14,3,0.0
2015,7,14,4,0.0
2015,7,14,5,36.33
2015,7,14,6,83.37
2015,7,14,7,189.52
2015,7,14,8,413.16
2015,7,14,9,532.12
2015,7,14,10,568.13
2015,7,14,11,491.78
2015,7,14,12,338.7
2015,7,14,13,416.16
2015,7,14,14,256.11
2015,7,14,15,192.18
2015,7,14,16,80.72
2015,7,14,17,44.08
2015,7,14,18,5.82
2015,7,14,19,0.0
2015,7,14,20,0.0
2015,7,14,21,0.0
2015,7,14,22,0.0
2015,7,14,23,0.0
2015,7,15,0,0.0
2015,7,15,1,0.0
2015,7,15,2,0.0
2015,7,15,3,0.0
2015,7,15,4,0.0
2015,7,15,5,34.88
2015,7,15,6,72.16
2015,7,15,7,141.55
2015,7,15,8,245.27
2015,7,15,9,316.29
2015,7,15,10,407.74
2015,7,15,11,413.8
2015,7,15,12,431.21
2015,7,15,13,236.55
2015,7,15,14,194.73
2015,7,15,15,139.15
2015,7,15,16,70.55
2015,7,15,17,37.75
2015,7,15,18,5.47
2015,7,15,19,0.0
2015,7,15,20,0.0
2015,7,15,21,0.0
2015,7,15,22,0.0
2015,7,15,23,0.0
2015,7,16,0,0.0
2015,7,16,1,0.0
2015,7,16,2,0.0
2015,7,16,3,0.0
2015,7,16,4,0.0
2015,7,16,5,35.14
2015,7,16,6,66.27
2015,7,16,7,115.4
2015,7,16,8,219.44
2015,7,16,9,298.72
2015,7,16,10,347.55
2015,7,16,11,308.38
2015,7,16,12,254.62
2015,7,16,13,246.73
2015,7,16,14,181.38
2015,7,16,15,130.12
2015,7,16,16,83.37
2015,7,16,17,40.49
2015,7,16,18,5.07
2015,7,16,19,0.0
2015,7,16,20,0.0
2015,7,16,21,0.0
2015,7,16,22,0.0
2015,7,16,23,0.0
2015,7,17,0,0.0
2015,7,17,1,0.0
2015,7,17,2,0.0
2015,7,17,3,0.0
2015,7,17,4,0.0
2015,7,17,5,35.41
2015,7,17,6,45.27
2015,7,17,7,65.55
2015,7,17,8,97.11
2015,7,17,9,115.23
2015,7,17,10,128.97
2015,7,17,11,123.52
2015,7,17,12,137.83
2015,7,17,13,121.38
2015,7,17,14,135.67
2015,7,17,15,76.27
2015,7,17,16,50.68
2015,7,17,17,35.24
2015,7,17,18,4.62
2015,7,17,19,0.0
2015,7,17,20,0.0
2015,7,17,21,0.0
2015,7,17,22,0.0
2015,7,17,23,0.0
2015,7,18,0,0.0
2015,7,18,1,0.0
2015,7,18,2,0.0
2015,7,18,3,0.0
2015,7,18,4,0.0
2015,7,18,5,35.7
2015,7,18,6,42.7
2015,7,18,7,54.61
2015,7,18,8,84.49
2015,7,18,9,102.48
2015,7,18,10,111.98
2015,7,18,11,117.52
2015,7,18,12,112.37
2015,7,18,13,113.97
2015,7,18,14,74.79
2015,7,18,15,41.95
2015,7,18,16,35.15
2015,7,18,17,32.12
2015,7,18,18,4.11
2015,7,18,19,0.0
2015,7,18,20,0.0
2015,7,18,21,0.0
2015,7,18,22,0.0
2015,7,18,23,0.0
2015,7,19,0,0.0
2015,7,19,1,0.0
2015,7,19,2,0.0
2015,7,19,3,0.0
2015,7,19,4,0.0
2015,7,19,5,35.98
2015,7,19,6,30.29
2015,7,19,7,38.99
2015,7,19,8,52.86
2015,7,19,9,42.1
2015,7,19,10,52.44
2015,7,19,11,62.78
2015,7,19,12,55.79
2015,7,19,13,71.06
2015,7,19,14,94.67
2015,7,19,15,76.71
2015,7,19,16,42.2
2015,7,19,17,36.43
2015,7,19,18,3.54
2015,7,19,19,0.0
2015,7,19,20,0.0
2015,7,19,21,0.0
2015,7,19,22,0.0
2015,7,19,23,0.0
2015,7,20,0,0.0
2015,7,20,1,0.0
2015,7,20,2,0.0
2015,7,20,3,0.0
2015,7,20,4,0.0
2015,7,20,5,36.27
2015,7,20,6,33.39
2015,7,20,7,43.8
2015,7,20,8,64.08
2015,7,20,9,70.55
2015,7,20,10,76.29
2015,7,20,11,89.39
2015,7,20,12,93.23
2015,7,20,13,99.45
2015,7,20,14,88.41
2015,7,20,15,74.33
2015,7,20,16,57.96
2015,7,20,17,34.99
2015,7,20,18,2.91
2015,7,20,19,0.0
2015,7,20,20,0.0
2015,7,20,21,0.0
2015,7,20,22,0.0
2015,7,20,23,0.0
2015,7,21,0,0.0
2015,7,21,1,0.0
2015,7,21,2,0.0
2015,7,21,3,0.0
2015,7,21,4,0.0
2015,7,21,5,36.58
2015,7,21,6,38.77
2015,7,21,7,57.62
2015,7,21,8,64.84
2015,7,21,9,90.14
2015,7,21,10,104.23
2015,7,21,11,104.48
2015,7,21,12,114.15
2015,7,21,13,103.48
2015,7,21,14,94.7
2015,7,21,15,77.24
2015,7,21,16,67.53
2015,7,21,17,36.1
2015,7,21,18,2.2
2015,7,21,19,0.0
2015,7,21,20,0.0
2015,7,21,21,0.0
2015,7,21,22,0.0
2015,7,21,23,0.0
2015,7,22,0,0.0
2015,7,22,1,0.0
2015,7,22,2,0.0
2015,7,22,3,0.0
2015,7,22,4,0.0
2015,7,22,5,37.19
2015,7,22,6,41.52
2015,7,22,7,69.55
2015,7,22,8,99.57
2015,7,22,9,109.47
2015,7,22,10,121.14
2015,7,22,11,141.59
2015,7,22,12,154.47
2015,7,22,13,97.4
2015,7,22,14,62.99
2015,7,22,15,62.2
2015,7,22,16,48.62
2015,7,22,17,31.96
2015,7,22,18,1.41
2015,7,22,19,0.0
2015,7,22,20,0.0
2015,7,22,21,0.0
2015,7,22,22,0.0
2015,7,22,23,0.0
2015,7,23,0,0.0
2015,7,23,1,0.0
2015,7,23,2,0.0
2015,7,23,3,0.0
2015,7,23,4,0.0
2015,7,23,5,38.18
2015,7,23,6,36.24
2015,7,23,7,48.71
2015,7,23,8,58.7
2015,7,23,9,42.45
2015,7,23,10,45.48
2015,7,23,11,39.39
2015,7,23,12,51.09
2015,7,23,13,40.73
2015,7,23,14,54.32
2015,7,23,15,37.37
2015,7,23,16,31.34
2015,7,23,17,30.66
2015,7,23,18,2.37
2015,7,23,19,0.0
2015,7,23,20,0.0
2015,7,23,21,0.0
2015,7,23,22,0.0
2015,7,23,23,0.0
2015,7,24,0,0.0
2015,7,24,1,0.0
2015,7,24,2,0.0
2015,7,24,3,0.0
2015,7,24,4,0.0
2015,7,24,5,39.2
2015,7,24,6,26.48
2015,7,24,7,32.52
2015,7,24,8,41.24
2015,7,24,9,118.75
2015,7,24,10,56.6
2015,7,24,11,58.29
2015,7,24,12,62.76
2015,7,24,13,78.05
2015,7,24,14,82.66
2015,7,24,15,90.7
2015,7,24,16,51.62
2015,7,24,17,34.77
2015,7,24,18,4.44
2015,7,24,19,0.0
2015,7,24,20,0.0
2015,7,24,21,0.0
2015,7,24,22,0.0
2015,7,24,23,0.0
2015,7,25,0,0.0
2015,7,25,1,0.0
2015,7,25,2,0.0
2015,7,25,3,0.0
2015,7,25,4,0.0
2015,7,25,5,40.23
2015,7,25,6,27.53
2015,7,25,7,36.11
2015,7,25,8,61.88
2015,7,25,9,87.6
2015,7,25,10,95.84
2015,7,25,11,143.32
2015,7,25,12,130.58
2015,7,25,13,124.45
2015,7,25,14,129.22
2015,7,25,15,177.91
2015,7,25,16,100.93
2015,7,25,17,54.83
2015,7,25,18,6.72
2015,7,25,19,0.0
2015,7,25,20,0.0
2015,7,25,21,0.0
2015,7,25,22,0.0
2015,7,25,23,0.0
2015,7,26,0,0.0
2015,7,26,1,0.0
2015,7,26,2,0.0
2015,7,26,3,0.0
2015,7,26,4,0.0
2015,7,26,5,41.7
2015,7,26,6,46.05
2015,7,26,7,84.92
2015,7,26,8,114.23
2015,7,26,9,128.96
2015,7,26,10,118.16
2015,7,26,11,142.7
2015,7,26,12,153.54
2015,7,26,13,142.35
2015,7,26,14,146.94
2015,7,26,15,170.66
2015,7,26,16,109.72
2015,7,26,17,49.66
2015,7,26,18,9.26
2015,7,26,19,0.0
2015,7,26,20,0.0
2015,7,26,21,0.0
2015,7,26,22,0.0
2015,7,26,23,0.0
2015,7,27,0,0.0
2015,7,27,1,0.0
2015,7,27,2,0.0
2015,7,27,3,0.0
2015,7,27,4,0.0
2015,7,27,5,44.06
2015,7,27,6,50.62
2015,7,27,7,88.77
2015,7,27,8,152.12
2015,7,27,9,162.31
2015,7,27,10,219.65
2015,7,27,11,262.05
2015,7,27,12,214.84
2015,7,27,13,237.48
2015,7,27,14,168.71
2015,7,27,15,135.55
2015,7,27,16,91.66
2015,7,27,17,43.8
2015,7,27,18,12.08
2015,7,27,19,0.0
2015,7,27,20,0.0
2015,7,27,21,0.0
2015,7,27,22,0.0
2015,7,27,23,0.0
2015,7,28,0,0.0
2015,7,28,1,0.0
2015,7,28,2,0.0
2015,7,28,3,0.0
2015,7,28,4,0.0
2015,7,28,5,43.91
2015,7,28,6,49.79
2015,7,28,7,72.25
2015,7,28,8,111.05
2015,7,28,9,156.32
2015,7,28,10,190.27
2015,7,28,11,223.58
2015,7,28,12,354.46
2015,7,28,13,153.27
2015,7,28,14,158.23
2015,7,28,15,215.41
2015,7,28,16,164.3
2015,7,28,17,56.84
2015,7,28,18,15.22
2015,7,28,19,0.0
2015,7,28,20,0.0
2015,7,28,21,0.0
2015,7,28,22,0.0
2015,7,28,23,0.0
2015,7,29,0,0.0
2015,7,29,1,0.0
2015,7,29,2,0.0
2015,7,29,3,0.0
2015,7,29,4,0.0
2015,7,29,5,47.66
2015,7,29,6,159.12
2015,7,29,7,331.45
2015,7,29,8,364.91
2015,7,29,9,386.66
2015,7,29,10,420.02
2015,7,29,11,277.19
2015,7,29,12,256.67
2015,7,29,13,329.83
2015,7,29,14,242.3
2015,7,29,15,227.97
2015,7,29,16,162.95
2015,7,29,17,75.7
2015,7,29,18,18.72
2015,7,29,19,0.0
2015,7,29,20,0.0
2015,7,29,21,0.0
2015,7,29,22,0.0
2015,7,29,23,0.0
2015,7,30,0,0.0
2015,7,30,1,0.0
2015,7,30,2,0.0
2015,7,30,3,0.0
2015,7,30,4,0.0
2015,7,30,5,45.77
2015,7,30,6,55.82
2015,7,30,7,112.44
2015,7,30,8,173.71
2015,7,30,9,204.28
2015,7,30,10,212.75
2015,7,30,11,193.2
2015,7,30,12,204.88
2015,7,30,13,220.59
2015,7,30,14,199.83
2015,7,30,15,204.77
2015,7,30,16,177.41
2015,7,30,17,104.96
2015,7,30,18,22.62
2015,7,30,19,0.0
2015,7,30,20,0.0
2015,7,30,21,0.0
2015,7,30,22,0.0
2015,7,30,23,0.0
2015,7,31,0,0.0
2015,7,31,1,0.0
2015,7,31,2,0.0
2015,7,31,3,0.0
2015,7,31,4,0.0
2015,7,31,5,47.84
2015,7,31,6,106.6
2015,7,31,7,221.66
2015,7,31,8,302.11
2015,7,31,9,352.26
2015,7,31,10,286.75
2015,7,31,11,262.54
2015,7,31,12,224.64
2015,7,31,13,173.57
2015,7,31,14,145.67
2015,7,31,15,143.99
2015,7,31,16,95.17
2015,7,31,17,38.78
2015,7,31,18,27.0
2015,7,31,19,0.0
2015,7,31,20,0.0
2015,7,31,21,0.0
2015,7,31,22,0.0
2015,7,31,23,0.0
2015,8,1,0,0.0
2015,8,1,1,0.0
2015,8,1,2,0.0
2015,8,1,3,0.0
2015,8,1,4,0.0
2015,8,1,5,48.07
2015,8,1,6,72.41
2015,8,1,7,173.95
2015,8,1,8,232.42
2015,8,1,9,212.48
2015,8,1,10,252.48
2015,8,1,11,196.38
2015,8,1,12,195.05
2015,8,1,13,240.17
2015,8,1,14,175.64
2015,8,1,15,140.02
2015,8,1,16,79.8
2015,8,1,17,49.84
2015,8,1,18,31.91
2015,8,1,19,0.0
2015,8,1,20,0.0
2015,8,1,21,0.0
2015,8,1,22,0.0
2015,8,1,23,0.0
2015,8,2,0,0.0
2015,8,2,1,0.0
2015,8,2,2,0.0
2015,8,2,3,0.0
2015,8,2,4,0.0
2015,8,2,5,49.09
2015,8,2,6,69.16
2015,8,2,7,145.0
2015,8,2,8,161.23
2015,8,2,9,193.32
2015,8,2,10,154.31
2015,8,2,11,160.61
2015,8,2,12,166.81
2015,8,2,13,107.8
2015,8,2,14,100.86
2015,8,2,15,95.35
2015,8,2,16,58.79
2015,8,2,17,35.76
2015,8,2,18,0.0
2015,8,2,19,0.0
2015,8,2,20,0.0
2015,8,2,21,0.0
2015,8,2,22,0.0
2015,8,2,23,0.0
2015,8,3,0,0.0
2015,8,3,1,0.0
2015,8,3,2,0.0
2015,8,3,3,0.0
2015,8,3,4,0.0
2015,8,3,5,47.77
2015,8,3,6,30.18
2015,8,3,7,46.99
2015,8,3,8,56.2
2015,8,3,9,68.24
2015,8,3,10,80.2
2015,8,3,11,52.43
2015,8,3,12,54.5
2015,8,3,13,56.27
2015,8,3,14,50.27
2015,8,3,15,42.32
2015,8,3,16,28.85
2015,8,3,17,26.19
2015,8,3,18,0.0
2015,8,3,19,0.0
2015,8,3,20,0.0
2015,8,3,21,0.0
2015,8,3,22,0.0
2015,8,3,23,0.0
2015,8,4,0,0.0
2015,8,4,1,0.0
2015,8,4,2,0.0
2015,8,4,3,0.0
2015,8,4,4,0.0
2015,8,4,5,47.86
2015,8,4,6,22.24
2015,8,4,7,28.77
2015,8,4,8,26.56
2015,8,4,9,46.75
2015,8,4,10,41.26
2015,8,4,11,49.4
2015,8,4,12,44.11
2015,8,4,13,43.61
2015,8,4,14,38.87
2015,8,4,15,36.38
2015,8,4,16,33.09
2015,8,4,17,33.53
2015,8,4,18,0.0
2015,8,4,19,0.0
2015,8,4,20,0.0
2015,8,4,21,0.0
2015,8,4,22,0.0
2015,8,4,23,0.0
2015,8,5,0,0.0
2015,8,5,1,0.0
